"","DIGNIDAD_CODIGO","OP_CODIGO","CANDIDATO_CODIGO","CANDIDATO_ORDEN","CANDIDATO_PROVINCIA_CODIGO","CANDIDATO_CANTON_CODIGO","CANDIDATO_PARROQUIA_CODIGO","CANDIDATO_NOMBRE","CANDIDATO_SEXO","CANDIDATO_EDAD_EXACTA","CANDIDATO_GRUPOS_DE_EDAD","SUPLENTE_NOMBRE.1","SUPLENTE_SEXO.1","SUPLENTE_EDAD_EXACTA.1","SUPLENTE_GRUPO_DE_EDAD.1","SUPLENTE_NOMBRE.2","SUPLENTE_SEXO.2","SUPLENTE_EDAD_EXACTA.2","SUPLENTE_GRUPO_DE_EDAD.2"
"6888",5,3,5139100000002,2,13,910,0,"PALACIOS LOPEZ BRAULIO GEOVANNY                                                                     ","HOMBRES",44.4356164383562,"DE 30 A MENOS DE 45 AÑOS","SALAZAR CEVALLOS CARMEN MARIA                                                                       ","MUJERES",46.8356164383562,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6889",5,55,5021650000038,2,2,165,0,"MEZA PEREZ JOHANA AMPARITO                                                                          ","MUJERES",26.3360655737705,"MENORES DE 30 AÑOS","SALAZAR CHACON VERONICA CECILIA                                                                     ","MUJERES",32.8191780821918,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6890",5,48,5037650000001,1,3,765,0,"RODRIGUEZ YEPEZ MARIO OSWALDO                                                                       ","HOMBRES",56.786301369863,"DE 45 A MENOS DE 65 AÑOS","SALAZAR CHALAPUD DIGNA ESPERANZA                                                                    ","MUJERES",56.3479452054795,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6891",5,5006,5051000000046,1,5,100,0,"SALGADO ARIAS LUIS EFRAIN                                                                           ","HOMBRES",59.9260273972603,"DE 45 A MENOS DE 65 AÑOS","SALAZAR CUITO CESAR ANIBAL                                                                          ","HOMBRES",56.4739726027397,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6892",5,16,5170600000087,3,17,60,0,"ROJAS CORREA TAILOR LENIN                                                                           ","HOMBRES",40.1835616438356,"DE 30 A MENOS DE 45 AÑOS","SALAZAR ESCOBAR ALEJANDRA CRISTINA                                                                  ","MUJERES",20.6739726027397,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"6893",5,6,5170800000013,1,17,80,0,"TOBAR ARCE GALO GILBERTO                                                                            ","HOMBRES",60.1479452054795,"DE 45 A MENOS DE 65 AÑOS","SALAZAR ESPINOZA GERMAN BOLIVAR                                                                     ","HOMBRES",38.6830601092896,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6894",5,22014,5226300000004,2,22,630,0,"ORDOÑEZ GUAMAN JUANA ESPERANZA                                                                     ","MUJERES",41.6054794520548,"DE 30 A MENOS DE 45 AÑOS","SALAZAR GREFA FRANCISCO DE ORELLANA                                                                 ","HOMBRES",38.9945205479452,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6895",5,6,5021800000015,3,2,180,0,"ARTEAGA MUNOZ GLORIA INES                                                                           ","MUJERES",37.6986301369863,"DE 30 A MENOS DE 45 AÑOS","SALAZAR GUARACA SILVIA EUGENIA                                                                      ","MUJERES",25.9863387978142,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"6896",3,6,3080000000016,1,8,0,0,"CEVALLOS CAPURRO DENNY MARELY                                                                       ","MUJERES",55.3150684931507,"DE 45 A MENOS DE 65 AÑOS","SALAZAR GUERRERO EDY ENRIQUE                                                                        ","HOMBRES",36.2739726027397,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6897",5,4,5073500000024,6,7,350,0,"MORA SANCHEZ DARWIN ROLANDO                                                                         ","HOMBRES",31.5890410958904,"DE 30 A MENOS DE 45 AÑOS","SALAZAR HERNANDEZ XAVIER ARTURO                                                                     ","HOMBRES",32.0986301369863,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6898",5,8,5097150000020,2,9,715,0,"FIGUEROA BARCIA NELLY ELIZABETH                                                                     ","MUJERES",38.8794520547945,"DE 30 A MENOS DE 45 AÑOS","SALAZAR HOLGUIN LUIS FAUTINIANO                                                                     ","HOMBRES",39.8794520547945,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6899",5,5,5012800000002,2,1,280,0,"JIMENEZ GALAN MAURA LUCIA                                                                           ","MUJERES",43.3068493150685,"DE 30 A MENOS DE 45 AÑOS","SALAZAR JIMENEZ LADY AUXILIADORA                                                                    ","MUJERES",21.8169398907104,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"6900",5,8,5099860000021,3,9,986,0,"AVILA CRUZ CELESTE MAGALI                                                                           ","MUJERES",31.6246575342466,"DE 30 A MENOS DE 45 AÑOS","SALAZAR MARTINEZ ANA ESPERANZA                                                                      ","MUJERES",30.8849315068493,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6901",5,11,5134400000065,5,13,440,0,"MENDOZA CEVALLOS VICTOR MANUEL                                                                      ","HOMBRES",41.013698630137,"DE 30 A MENOS DE 45 AÑOS","SALAZAR MEDRANDA GLORIA ESPERANZA                                                                   ","MUJERES",45.5397260273973,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6902",5,5,5134500000024,4,13,450,0,"SALAZAR CEDEÑO YOHANNA MARICELA                                                                    ","MUJERES",31.4904109589041,"DE 30 A MENOS DE 45 AÑOS","SALAZAR MERO EMERITA                                                                                ","MUJERES",52.3643835616438,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6903",5,2006,5021800000016,1,2,180,0,"MONAR AGUILAR GLORIA DEL ROCIO                                                                      ","MUJERES",38.5054644808743,"DE 30 A MENOS DE 45 AÑOS","SALAZAR MICHILENA MARGOTH ELIZABETH                                                                 ","MUJERES",27.6931506849315,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"6904",7,3,7010000000009,4,1,0,0,"ZAMORA TORRES JOHANNA ELIZABETH                                                                     ","MUJERES",26.0218579234973,"MENORES DE 30 AÑOS","SALAZAR MORENO MARIA ESTELA                                                                         ","MUJERES",31.9397260273973,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6905",5,6,5073750000017,2,7,375,0,"SANCHEZ HONORES ROSA MERCEDES                                                                       ","MUJERES",37.0958904109589,"DE 30 A MENOS DE 45 AÑOS","SALAZAR OLAYA LUIS FRANCISCO                                                                        ","HOMBRES",45.5178082191781,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6906",7,1,7180000000005,1,18,0,0,"SOLIS ORTIZ GUILLERMO EDUARDO                                                                       ","HOMBRES",44.0246575342466,"DE 30 A MENOS DE 45 AÑOS","SALAZAR PAREDES RAMIRO LUPERCIO                                                                     ","HOMBRES",31.9945205479452,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6907",5,9002,5097150000036,3,9,715,0,"VAQUE JARAMILLO JORGE LUIS                                                                          ","HOMBRES",37.2986301369863,"DE 30 A MENOS DE 45 AÑOS","SALAZAR PLUAS RODRIGO MIGUEL                                                                        ","HOMBRES",49.2246575342466,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6908",5,8,5073750000023,2,7,375,0,"MORAN SANCHEZ MARIO FRANCISCO                                                                       ","HOMBRES",43.8657534246575,"DE 30 A MENOS DE 45 AÑOS","SALAZAR RAMIREZ SANTA GLADYS                                                                        ","MUJERES",41.5041095890411,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
