"","DIGNIDAD_CODIGO","OP_CODIGO","CANDIDATO_CODIGO","CANDIDATO_ORDEN","CANDIDATO_PROVINCIA_CODIGO","CANDIDATO_CANTON_CODIGO","CANDIDATO_PARROQUIA_CODIGO","CANDIDATO_NOMBRE","CANDIDATO_SEXO","CANDIDATO_EDAD_EXACTA","CANDIDATO_GRUPOS_DE_EDAD","SUPLENTE_NOMBRE","SUPLENTE_SEXO","SUPLENTE_EDAD_EXACTA","SUPLENTE_GRUPOS_DE_EDAD"
"1980",7,13,7170000000134,8,17,0,0,"VILLA CERON ERIKA ROSSANA                                                                           ","MUJERES",36.0027397260274,"DE 30 A MENOS DE 45 AÑOS","ALCIVAR POZO JOSE RICARDO                                                                           ","HOMBRES",21.3616438356164,"MENOS DE 30 AÑOS"
"1981",7,13,7170000000135,9,17,0,0,"GUERRA CALDERON FRANCISCO FERNANDO                                                                  ","HOMBRES",47.786301369863,"DE 45 A MENOS DE 65 AÑOS","FALCON COBA VILMA ARACELY                                                                           ","MUJERES",31.2349726775956,"DE 30 A MENOS DE 45 AÑOS"
"1982",7,13,7170000000136,10,17,0,0,"RAMIREZ QUIJIJE KETTY LOURDES                                                                       ","MUJERES",44.3123287671233,"DE 30 A MENOS DE 45 AÑOS","AGUIRRE UQUILLAS KLEBER GERMAN                                                                      ","HOMBRES",29.3260273972603,"MENOS DE 30 AÑOS"
"1983",7,13,7170000000137,11,17,0,0,"PALTAN RAMIREZ SEGUNDO FELICIANO                                                                    ","HOMBRES",54.792349726776,"DE 45 A MENOS DE 65 AÑOS","SAGAL LOPEZ ROSA EMPERATRIZ                                                                         ","MUJERES",29.7698630136986,"MENOS DE 30 AÑOS"
"1984",7,13,7170000000138,12,17,0,0,"ARMIJOS BOADA NELLY BEATRIZ                                                                         ","MUJERES",42.0301369863014,"DE 30 A MENOS DE 45 AÑOS","MENDEZ JUAN ELISEO                                                                                  ","HOMBRES",31.4262295081967,"DE 30 A MENOS DE 45 AÑOS"
"1985",7,13,7170000000139,13,17,0,0,"GUZMAN JIMENEZ JORGE EDUARDO                                                                        ","HOMBRES",30.0465753424658,"DE 30 A MENOS DE 45 AÑOS","CHAMORRO ORTEGA NARCISA LUCIA                                                                       ","MUJERES",36.5890410958904,"DE 30 A MENOS DE 45 AÑOS"
"1986",7,13,7170000000140,14,17,0,0,"CARRERA CARRERA PATRICIA IRENE                                                                      ","MUJERES",21.9780821917808,"MENOS DE 30 AÑOS","GARCIA CORTAZAR PASTOR MIGUEL                                                                       ","HOMBRES",50.948087431694,"DE 45 A MENOS DE 65 AÑOS"
"1987",7,15,7170000000141,1,17,0,0,"BURGOS CABEZAS GUSTAVO ALBERTO                                                                      ","HOMBRES",53.8547945205479,"DE 45 A MENOS DE 65 AÑOS","PAREDES CHAVEZ PAMELA PAOLA                                                                         ","MUJERES",25.9780821917808,"MENOS DE 30 AÑOS"
"1988",7,15,7170000000142,2,17,0,0,"CAJAS TORRES INGREED MARCELA                                                                        ","MUJERES",35.6830601092896,"DE 30 A MENOS DE 45 AÑOS","SIMBAÑA VASCONEZ LUIS RAMIRO                                                                       ","HOMBRES",42.4794520547945,"DE 30 A MENOS DE 45 AÑOS"
"1989",7,15,7170000000143,3,17,0,0,"SANTOS BASANTES PABLO FABIAN                                                                        ","HOMBRES",46.2520547945205,"DE 45 A MENOS DE 65 AÑOS","NICOLALDE ZABALA ELVIRA JUSTINA                                                                     ","MUJERES",41.6821917808219,"DE 30 A MENOS DE 45 AÑOS"
"1990",7,15,7170000000144,4,17,0,0,"CASTILLO MEDINA ALICIA VIVIANA                                                                      ","MUJERES",28.7068493150685,"MENOS DE 30 AÑOS","CHAVEZ QUINTANILLA WASHINGTON ALFONSO                                                               ","HOMBRES",39.0081967213115,"DE 30 A MENOS DE 45 AÑOS"
"1991",7,15,7170000000145,5,17,0,0,"CEVALLOS ZUMARRAGA GUILLERMO AGUSTIN                                                                ","HOMBRES",55.396174863388,"DE 45 A MENOS DE 65 AÑOS","BENITEZ POZO EULALIA BELEN                                                                          ","MUJERES",42.7486338797814,"DE 30 A MENOS DE 45 AÑOS"
"1992",7,15,7170000000146,6,17,0,0,"CUJI MEDINA CONSTANCE ELIZABETH                                                                     ","MUJERES",44.5561643835616,"DE 30 A MENOS DE 45 AÑOS","MEDINA QUILUMBANGO ROBERT NICK                                                                      ","HOMBRES",38.213698630137,"DE 30 A MENOS DE 45 AÑOS"
"1993",7,15,7170000000147,7,17,0,0,"ANDRADE ARRIETA DENNIS ROBERTO                                                                      ","HOMBRES",29.6,"MENOS DE 30 AÑOS","GARCES SORNOZA KATHY SOLANDA MARILIN                                                                ","MUJERES",44.5260273972603,"DE 30 A MENOS DE 45 AÑOS"
"1994",7,15,7170000000148,8,17,0,0,"ALBAN SILVA ROSA EUGENIA                                                                            ","MUJERES",44.2712328767123,"DE 30 A MENOS DE 45 AÑOS","MONTENEGRO SANCHEZ NELSON RAUL                                                                      ","HOMBRES",54,"DE 45 A MENOS DE 65 AÑOS"
"1995",7,15,7170000000149,9,17,0,0,"PINCHA TOAQUIZA ANGEL ADAN                                                                          ","HOMBRES",43.3087431693989,"DE 30 A MENOS DE 45 AÑOS","SANCHEZ TEREZA BEATRIZ                                                                              ","MUJERES",64.158904109589,"DE 45 A MENOS DE 65 AÑOS"
"1996",7,15,7170000000150,10,17,0,0,"BENITEZ POZO JENNY LILIAN                                                                           ","MUJERES",37.4164383561644,"DE 30 A MENOS DE 45 AÑOS","LOPEZ MOSCOSO OSCAR PATRICIO                                                                        ","HOMBRES",25.7232876712329,"MENOS DE 30 AÑOS"
