"","OP_CODIGO","OP_PROVINCIA_CODIGO","OP_CANTON_CODIGO","OP_PARROQUIA_CODIGO","OP_TIPO","OP_AMBITO","OP_NOMBRE","OP_SIGLAS","OP_LISTA"
"126",120000000204,12,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MPD-PACHAKUTIK                                                                                                                                                                                  ","MPD /MUPP-NP                                      ","15-18     "
"127",120000000205,12,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIALISTA FRENTE AMPLIO-DEMOCRACIA POPULAR                                                                                                                                                     ","PS-FA /DP-UDC                                     ","17-5      "
"128",125400000206,12,540,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK-NUEVO PAIS/ SOCIEDAD PATRIOTICA  21 DE ENERO                                                                                                         ","MUPP-NP /PSP                                      ","18-3      "
"129",130000000041,13,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO ARTESANAL POLITICO ECUATORIANO                                                                                                                                                               ","M.A.P.E.                                          ","41        "
"130",130000000201,13,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","PSP/MUPP-NP /AN                                   ","3-18-14   "
"131",134400000045,13,440,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO POLITICO DE LIBERACION NACIONAL                                                                                                                                                              ","MPLN                                              ","45        "
"132",134500000042,13,450,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO INDEPENDIENTE ULTIMA CUMBRE                                                                                                                                                                  ","MIUC                                              ","42        "
"133",134500000044,13,450,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO INDEPENDIENTE SOLUCION ECUATORIANA                                                                                                                                                           ","MISE                                              ","44        "
"134",134550000043,13,455,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","FRENTE REVOLUCIONARIO INDEPENDIENTE UNIVERSITARIO DE JIPIJAPA                                                                                                                                           ","FRIU-J                                            ","43        "
"135",134600000046,13,460,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO CAMPESINO INDEPENDIENTE                                                                                                                                                                      ","MIC                                               ","46        "
"136",140000000041,14,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO DE INTEGRACION CAMPESINA DE MORONA SANTIAGO                                                                                                                                                  ","MICMS                                             ","41        "
"137",140000000042,14,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO POLITICO DE UNIDAD PROVINCIAL INDEPENDIENTE                                                                                                                                                  ","UPI                                               ","42        "
"138",140000000201,14,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIEDAD PATRIOTICA 21 DE ENERO / MOVIMIENTO AMAUTA JATARI                                                                                                                                      ","PSP/MIAJ                                          ","3-28      "
"139",140000000202,14,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA CONCERTACION PROVINCIAL                                                                                                                                                                         ","DP-UDC/ID                                         ","5-12      "
"140",140000000203,14,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA EL PUEBLO AL PODER                                                                                                                                                                              ","PRE /UPI                                          ","10-42     "
"141",140000000204,14,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","ID /DP-UDC                                        ","12-5      "
"142",146000000205,14,600,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIEDAD PATRIOTICA 21 DE ENERO/ROLDOSISTA ECUATORIANO/MOVIMIENTO UNIDAD PROVINCIAL INDEPENDIENTE/ALFARISMO NACIONAL                                                                            ","PSP/PRE /UPI /AN                                  ","3-10-42-14"
"143",146000000206,14,600,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO DE INTEGRACION CAMPESINA / DEMOCRACIA POPULAR - UNION DEMOCRATA CRISTIANA                                                                                                            ","MICMS /DP-UDC                                     ","41-5      "
"144",149250000207,14,925,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA ROLDOSISTA ECUATORIANO/MOVIMIENTO UNIDAD PROVINCIAL INDEPENDIENTE/ALFARISMO NACIONAL                                                                                                            ","PRE /UPI /AN                                      ","10-42-14  "
"145",150000000041,15,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO  ALIANZA AMAZONICA                                                                                                                                                                           ","MAA                                               ","41        "
"146",150000000201,15,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA PARTIDO SOCIEDAD PATRIOTICA 21 DE ENERO / MOVIMIENTO POPULAR DEMOCRATICO                                                                                                                        ","PSP/MPD                                           ","3-15      "
"147",150000000202,15,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA ALFARISMO NACIONAL /ALIANZA AMAZONICA                                                                                                                                                           ","AN /MAA                                           ","14-41     "
"148",150000000203,15,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK NUEVO PAIS / CONCENTRACION DE FUERZAS POPULARES                                                                                                      ","MUPP-NP /CFP                                      ","18-4      "
"149",152550000204,15,255,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO POPULAR DEMOCRATICO / PARTIDO SOCIEDAD PATRIOTICA 21 DE ENERO                                                                                                                        ","MPD /PSP                                          ","15-3      "
"150",156350000205,15,635,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK -NUEVO PAIS                                                                                                           ","MPD /MUPP-NP                                      ","15-18     "
"151",160000000041,16,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO INDEPENDIENTE EDUARDO VASCONEZ                                                                                                                                                               ","MIEV                                              ","41        "
"152",160000000201,16,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","UN - UNO/PSC                                      ","1-6       "
"153",160000000202,16,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","PS-FA /CFP                                        ","17-4      "
"154",170000000042,17,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO INDEPENDIENTE TRANSFORMACION NACIONAL                                                                                                                                                        ","MITN                                              ","42        "
"155",170000000044,17,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","UNIDAD PATRIOTICA DEL PUEBLO                                                                                                                                                                            ","UPP                                               ","44        "
"156",180000000042,18,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO INDEPENDIENTE FRENTE CIVICO POR AMBATO Y TUNGURAHUA                                                                                                                                          ","MIFC                                              ","42        "
"157",180000000201,18,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA FRENTE PATRIOTICO                                                                                                                                                                               ","PSP/MPD                                           ","3-15      "
"158",180000000202,18,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA ROLDOSISTA ECUATORIANO/MOVIMIENTO INDEPENDIENTE AMAUTA JATARI                                                                                                                                   ","PRE /MIAJ                                         ","10-28     "
"159",180000000203,18,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA FRENTE CIVICO POR UN NUEVO PAIS                                                                                                                                                                 ","MCNP /MIFC                                        ","21-42     "
"160",180000000204,18,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA FRENTE CIVICO CIUDADANOS NUEVO PAIS                                                                                                                                                             ","MIFC /MCNP                                        ","42-21     "
"161",181450000041,18,145,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO INDEPENDIENTE PILLAREÑO                                                                                                                                                                     ","MIP                                               ","41        "
